,上映日期,电影名称,票房收入,结束放映日期
0,2015.3.5,《将错就错》,3937.4,2015.3.29
1,2015.2.6,《一路惊喜》,6974.6,2015.3.8
2,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
3,2015.3.20,《失孤》,21617.9,2015.5.3
4,2015.11.27,《坏蛋必须死》,4705.4,2015.12.20
5,2015.6.19,《少年班》,5068.7,2015.7.19
6,2015.3.5,《将错就错》,3937.4,2015.3.29
7,2015.12.31,《一念天堂》,8279.5,2016.2.13
8,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
9,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
10,2015.8.7,《破风》,14529.1,2015.9.13
11,2015.12.3,《怦然星动》,15973.9,2016.1.10
12,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
13,2015.8.7,《破风》,14529.1,2015.9.13
14,2015.12.24,《恶棍天使》,64959.0,2016.2.13
15,2015.4.30,《闯入者》,1003.6,2015.5.24
16,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
17,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
18,2015.7.17,《爱情魔发师》,20.3,2015.8.2
19,2015.11.27,《坏蛋必须死》,4705.4,2015.12.20
20,2015.12.31,《一念天堂》,8279.5,2016.2.13
21,2015.2.19,《冲上云霄》,15631.3,2015.3.29
22,2015.4.17,《万物生长》,14831.8,2015.5.24
23,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
24,2015.12.11,《紫霞》,49.1,2015.12.27
25,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
26,2015.6.19,《少年班》,5068.7,2015.7.19
27,2015.3.7,《探灵档案》,334.1,2015.3.22
28,2015.7.17,《爱情魔发师》,20.3,2015.8.2
29,2015.4.17,《万物生长》,14831.8,2015.5.24
30,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
31,2015.3.7,《探灵档案》,334.1,2015.3.22
32,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
33,2015.3.7,《探灵档案》,334.1,2015.3.22
34,2015.8.28,《百团大战》,41367.3,2015.10.11
35,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
36,2015.7.17,《爱情魔发师》,20.3,2015.8.2
37,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
38,2015.12.3,《怦然星动》,15973.9,2016.1.10
39,2015.8.28,《百团大战》,41367.3,2015.10.11
40,2015.4.17,《万物生长》,14831.8,2015.5.24
41,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
42,2015.8.7,《爱之初体验》,321.7,2015.8.23
43,2015.6.19,《少年班》,5068.7,2015.7.19
44,2015.8.7,《爱之初体验》,321.7,2015.8.23
45,2015.12.11,《紫霞》,49.1,2015.12.27
46,2015.2.6,《一路惊喜》,6974.6,2015.3.8
47,2015.8.7,《爱之初体验》,321.7,2015.8.23
48,2015.11.27,《坏蛋必须死》,4705.4,2015.12.20
49,2015.8.7,《爱之初体验》,321.7,2015.8.23
50,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
51,2015.12.31,《一念天堂》,8279.5,2016.2.13
52,2015.8.28,《百团大战》,41367.3,2015.10.11
53,2015.12.24,《恶棍天使》,64959.0,2016.2.13
54,2015.12.24,《恶棍天使》,64959.0,2016.2.13
55,2015.2.6,《一路惊喜》,6974.6,2015.3.8
56,2015.12.31,《一念天堂》,8279.5,2016.2.13
57,2015.8.7,《爱之初体验》,321.7,2015.8.23
58,2015.8.7,《爱之初体验》,321.7,2015.8.23
59,2015.12.11,《紫霞》,49.1,2015.12.27
60,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
61,2015.8.7,《破风》,14529.1,2015.9.13
62,2015.4.30,《闯入者》,1003.6,2015.5.24
63,2015.6.19,《少年班》,5068.7,2015.7.19
64,2015.6.19,《少年班》,5068.7,2015.7.19
65,2015.8.28,《百团大战》,41367.3,2015.10.11
66,2015.3.20,《失孤》,21617.9,2015.5.3
67,2015.8.28,《百团大战》,41367.3,2015.10.11
68,2015.6.19,《少年班》,5068.7,2015.7.19
69,2015.12.3,《怦然星动》,15973.9,2016.1.10
70,2015.12.24,《恶棍天使》,64959.0,2016.2.13
71,2015.8.7,《爱之初体验》,321.7,2015.8.23
72,2015.12.11,《紫霞》,49.1,2015.12.27
73,2015.12.31,《一念天堂》,8279.5,2016.2.13
74,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
75,2015.2.19,《冲上云霄》,15631.3,2015.3.29
76,2015.12.3,《怦然星动》,15973.9,2016.1.10
77,2015.7.17,《爱情魔发师》,20.3,2015.8.2
78,2015.8.28,《百团大战》,41367.3,2015.10.11
79,2015.3.20,《失孤》,21617.9,2015.5.3
80,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
81,2015.2.19,《冲上云霄》,15631.3,2015.3.29
82,2015.12.11,《紫霞》,49.1,2015.12.27
83,2015.4.17,《万物生长》,14831.8,2015.5.24
84,2015.2.19,《冲上云霄》,15631.3,2015.3.29
85,2015.8.28,《百团大战》,41367.3,2015.10.11
86,2015.11.27,《坏蛋必须死》,4705.4,2015.12.20
87,2015.3.7,《探灵档案》,334.1,2015.3.22
88,2015.2.6,《一路惊喜》,6974.6,2015.3.8
89,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
90,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
91,2015.3.5,《将错就错》,3937.4,2015.3.29
92,2015.12.11,《紫霞》,49.1,2015.12.27
93,2015.12.3,《怦然星动》,15973.9,2016.1.10
94,2015.3.5,《将错就错》,3937.4,2015.3.29
95,2015.8.7,《爱之初体验》,321.7,2015.8.23
96,2015.2.19,《冲上云霄》,15631.3,2015.3.29
97,2015.3.20,《失孤》,21617.9,2015.5.3
98,2015.12.11,《紫霞》,49.1,2015.12.27
99,2015.3.20,《失孤》,21617.9,2015.5.3
100,2015.2.6,《一路惊喜》,6974.6,2015.3.8
101,2015.8.28,《百团大战》,41367.3,2015.10.11
102,2015.4.17,《万物生长》,14831.8,2015.5.24
103,2015.2.19,《冲上云霄》,15631.3,2015.3.29
104,2015.2.6,《一路惊喜》,6974.6,2015.3.8
105,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
106,2015.2.6,《一路惊喜》,6974.6,2015.3.8
107,2015.12.3,《怦然星动》,15973.9,2016.1.10
108,2015.8.7,《破风》,14529.1,2015.9.13
109,2015.4.30,《闯入者》,1003.6,2015.5.24
110,2015.3.5,《将错就错》,3937.4,2015.3.29
111,2015.6.19,《少年班》,5068.7,2015.7.19
112,2015.2.19,《冲上云霄》,15631.3,2015.3.29
113,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
114,2015.12.24,《恶棍天使》,64959.0,2016.2.13
115,2015.12.24,《恶棍天使》,64959.0,2016.2.13
116,2015.7.17,《爱情魔发师》,20.3,2015.8.2
117,2015.12.31,《一念天堂》,8279.5,2016.2.13
118,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
119,2015.6.19,《少年班》,5068.7,2015.7.19
120,2015.4.30,《闯入者》,1003.6,2015.5.24
121,2015.3.5,《将错就错》,3937.4,2015.3.29
122,2015.7.17,《爱情魔发师》,20.3,2015.8.2
123,2015.4.30,《闯入者》,1003.6,2015.5.24
124,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
125,2015.12.11,《最美的时候遇见你》,156.2,2015.12.27
126,2015.11.27,《坏蛋必须死》,4705.4,2015.12.20
127,2015.3.7,《探灵档案》,334.1,2015.3.22
128,2015.3.5,《将错就错》,3937.4,2015.3.29
129,2015.8.7,《破风》,14529.1,2015.9.13
130,2015.12.31,《一念天堂》,8279.5,2016.2.13
131,2015.3.7,《探灵档案》,334.1,2015.3.22
132,2015.4.17,《万物生长》,14831.8,2015.5.24
133,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
134,2015.2.19,《冲上云霄》,15631.3,2015.3.29
135,2015.4.17,《万物生长》,14831.8,2015.5.24
136,2015.12.11,《紫霞》,49.1,2015.12.27
137,2015.4.17,《万物生长》,14831.8,2015.5.24
138,2015.12.24,《恶棍天使》,64959.0,2016.2.13
139,2015.4.17,《万物生长》,14831.8,2015.5.24
140,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
141,2015.3.7,《探灵档案》,334.1,2015.3.22
142,2015.8.7,《爱之初体验》,321.7,2015.8.23
143,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
144,2015.12.11,《紫霞》,49.1,2015.12.27
145,2015.8.7,《破风》,14529.1,2015.9.13
146,2015.12.24,《恶棍天使》,64959.0,2016.2.13
147,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
148,2015.12.31,《一念天堂》,8279.5,2016.2.13
149,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
150,2015.10.23,《既然青春留不住》,5020.3,2015.11.22
151,2015.4.17,《万物生长》,14831.8,2015.5.24
152,2015.8.7,《爱之初体验》,321.7,2015.8.23
153,2015.2.19,《冲上云霄》,15631.3,2015.3.29
154,2015.8.7,《破风》,14529.1,2015.9.13
155,2015.3.5,《将错就错》,3937.4,2015.3.29
156,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
157,2015.12.3,《怦然星动》,15973.9,2016.1.10
158,2015.12.24,《分手再说我爱你》,1273.2,2016.1.17
159,2015.12.11,《紫霞》,49.1,2015.12.27
160,2015.11.6,《前任2：备胎反击战》,25200.2,2015.12.20
161,2015.12.31,《一念天堂》,8279.5,2016.2.13
162,2015.3.5,《将错就错》,3937.4,2015.3.29
163,2015.11.27,《坏蛋必须死》,4705.4,2015.12.20
